date,MKT,SMB,LIQ,const
2014-11-03,,0.0,0.0,1.0
2014-11-05,0.007098099763529123,0.008329758757014864,0.0,1.0
2014-11-07,0.00018090372757231994,0.005228875966765266,0.0,1.0
2014-11-10,0.0009312981673662245,0.0008316113686819978,0.0,1.0
2014-11-11,0.004415066325274004,-8.4791753197728e-05,0.0,1.0
2014-11-12,0.0046062450588927615,0.005333653810782655,0.0,1.0
2014-11-13,-0.004272625230806699,0.0022816355423444967,0.0,1.0
2014-11-14,0.004783217394941054,0.0006193127941280328,0.0,1.0
2014-11-17,0.004263934297606534,-0.008272245869236129,0.0,1.0
2014-11-18,0.007339724002903982,-0.0002417924798491398,0.0,1.0
2014-11-19,-0.006453646838524244,0.004612016707193106,0.0,1.0
2014-11-20,-0.004475443059327016,-0.0016547428926315176,0.002642547824999143,1.0
2014-11-21,-0.0007507628831627654,-3.680285855269731e-05,-0.0005839664184516459,1.0
2014-11-24,-0.0002585302636263827,0.0017541382057096717,0.0014040122715395285,1.0
2014-11-25,-0.024031339910893994,-0.0024432135919973605,0.005973476633922871,1.0
2014-11-26,0.009239851966331617,-0.0018907954012610823,-0.0009150025186034734,1.0
2014-11-27,0.004661236170686335,-0.000261200290090185,0.003121509807600658,1.0
2014-11-28,0.0018921298677572677,-0.0030497158292868572,0.010328928363692525,1.0
2014-12-01,-0.0069646350660366105,0.0015083043038178912,-0.000160182850116492,1.0
2014-12-02,0.004684278038890827,-0.00392973432582544,0.0030502378398834257,1.0
2014-12-03,0.016546328336891562,-4.885975205795243e-05,0.0029128714015651033,1.0
2014-12-04,0.0034779193319330786,0.0027520848030866563,-0.001962281489311475,1.0
2014-12-05,0.0017768527610230742,0.007306972893367188,-0.013956114360450998,1.0
2014-12-08,-0.008772762384872757,0.002249409930227584,-0.007537445770681026,1.0
2014-12-09,-0.01795537462139802,0.003264825715258171,-0.004266178238921588,1.0
2014-12-10,0.009002137429395318,-0.0015585489828939501,0.002373066456095173,1.0
2014-12-11,-0.005131484777965585,0.002148456756148599,-0.007897617008278639,1.0
2014-12-12,-0.0146289807511412,0.0019118711475609451,-7.774689558214497e-05,1.0
2014-12-15,-0.00800126237946239,-0.0024282736919612876,0.005915483320767946,1.0
2014-12-16,-0.03600271373113741,-6.112375317744029e-05,-0.0015875651043839901,1.0
2014-12-17,-0.010655069233308534,-0.002230350350348546,0.002980063358762568,1.0
2014-12-18,0.03207824511817555,-0.00021698273643001864,-0.0010213169087417324,1.0
2014-12-19,0.004300540901264968,0.002618007397489466,-0.0006965684504886783,1.0
2014-12-22,0.00484712754825042,-0.006264377688474317,0.010724440098337904,1.0
2014-12-23,-0.007510625187736452,-0.0021846947876356737,0.004676388394742641,1.0
2014-12-24,0.0013103516428606043,1.3578770548405665e-05,-0.0033550915609562326,1.0
2014-12-26,0.002897936846726305,-0.0015655091117667236,0.001072948116805569,1.0
2014-12-29,0.0079464336044629,-0.0011866323552625728,0.0014310859798098187,1.0
2014-12-30,0.003635583119537123,-0.0020606000888763504,0.005033457141730907,1.0
2014-12-31,0.010800571006900737,-0.002025706865733891,0.00047732939865160855,1.0
2015-01-01,0.013410919955279776,0.004138627018379739,-0.003081968990400072,1.0
2015-01-02,0.014483279694763538,0.0084524713483609,-0.011916380969332062,1.0
2015-01-05,0.00536223879758895,0.0065512840211639604,-0.012064332783079819,1.0
2015-01-06,-0.02898754439658316,0.009483926356196049,-0.016317061888461853,1.0
2015-01-07,-0.0014632114127966964,-0.004972382286124772,0.006673696879955329,1.0
2015-01-08,0.020819858809300016,-0.0005223696883314387,-0.0014867513753863866,1.0
2015-01-09,0.0003771708766435323,0.0017323958007520674,0.001222461996873265,1.0
2015-01-12,0.00819012301530669,0.0012691621506134964,0.0010197730382775416,1.0
2015-01-13,0.00023453468114653024,0.002740469984555983,-0.005843379875741905,1.0
2015-01-14,-0.002641261624323964,0.0003250546849202004,-0.0047330233482516994,1.0
2015-01-15,0.01014693561275821,-0.0020844880782790974,0.006487114849953806,1.0
2015-01-16,0.0027835009311515404,0.00145580796703541,-0.0035951605519919366,1.0
2015-01-19,0.009003036012634613,0.0014088140011226866,-0.0026331625580600735,1.0
2015-01-20,0.00475909734452119,0.001751837231833378,0.0014589511482418441,1.0
2015-01-21,-0.0036774972934446835,-0.0020637869574428587,0.003092371877228812,1.0
2015-01-22,-0.0013843246300863847,-0.0003988724633240045,0.0012069008928764055,1.0
2015-01-23,-0.00787237011092357,-0.003652806299325433,0.009020992502062753,1.0
2015-01-27,0.0031746912936800775,-0.000876333792855418,-0.0021421685997596272,1.0
2015-01-28,-0.0054732053544286835,-0.0047343505366050625,0.00946055007156193,1.0
2015-01-29,0.0022167147050985154,0.001500959692862473,-0.0021350654630817095,1.0
2015-01-30,-0.0033822378900815954,0.0008267980534220087,-0.0039878986681317116,1.0
2015-02-02,0.007093086236968688,-0.00117186610548031,0.0039117886951815445,1.0
2015-02-03,0.00012907732581746612,0.006424496473308938,-0.010426769503924876,1.0
2015-02-04,-0.00022637892703624405,0.005439426512617874,-0.004009180481359221,1.0
2015-02-05,-0.011436548020831385,0.0058501924094324295,-0.004613645505477908,1.0
